"","Id","Label","timeset","componentnumber","pageranks","Degree","Weighted.Degree","Eccentricity","closnesscentrality","harmonicclosnesscentrality","betweenesscentrality","eigencentrality","DegRank","CloseRank","BetweenRank","WeightedDegRank"
"1","tt0014140","How Troy Was Collared",NA,0,0.000675,0,0,0,0,0,0,0,246.5,246.5,219.5,246.5
"2","tt0014304","Napoleon Not So Great",NA,1,0.000675,0,0,0,0,0,0,0,246.5,246.5,219.5,246.5
"3","tt0015830","Foam Sweet Foam",NA,2,0.000675,0,0,0,0,0,0,0,246.5,246.5,219.5,246.5
"4","tt0021025","King of Jazz",NA,3,0.000675,0,0,0,0,0,0,0,246.5,246.5,219.5,246.5
"5","tt0023353","The Pride of the Legion",NA,4,0.000675,0,0,0,0,0,0,0,246.5,246.5,219.5,246.5
"6","tt0035905","Frontier Fury",NA,5,0.000675,0,0,0,0,0,0,0,246.5,246.5,219.5,246.5
"7","tt0036497","Victory Through Air Power",NA,6,0.005479,12,46,8,0.26971,0.323864,98.92814,0.659763,32.5,100,116.5,24.5
"8","tt0036842","Frontier Outlaws",NA,7,0.000675,0,0,0,0,0,0,0,246.5,246.5,219.5,246.5
"9","tt0038166","The Three Caballeros",NA,6,0.005811,13,40,7,0.295903,0.350733,227.745752,0.72795,23,54,83,31.5
"10","tt0038606","Holiday in Mexico",NA,6,0.003223,3,6,8,0.25,0.278736,194,0.03851,148,153.5,92,164
"11","tt0038718","Make Mine Music",NA,6,0.005798,13,54,8,0.26,0.317283,30.828355,0.708711,23,134.5,146,19
"12","tt0038969","Song of the South",NA,6,0.006148,13,32,7,0.299539,0.358083,249.672868,0.708588,23,48,76,41.5
"13","tt0039404","Fun & Fancy Free",NA,6,0.002636,5,12,8,0.240741,0.276306,0.3,0.284457,108,160,158,113.5
"14","tt0040580","Melody Time",NA,6,0.005755,13,72,8,0.263514,0.321899,28.48312,0.740334,23,124,147,2
"15","tt0040910","Two Guys from Texas",NA,8,0.0045,2,4,1,1,1,0,0.003274,172,8.5,219.5,181.5
"16","tt0041094","The Adventures of Ichabod and Mr. Toad",NA,6,0.005479,12,46,8,0.26971,0.323864,98.92814,0.659763,32.5,100,116.5,24.5
"17","tt0041671","My Dream Is Yours",NA,8,0.0045,2,4,1,1,1,0,0.003274,172,8.5,219.5,181.5
"18","tt0041890","So Dear to My Heart",NA,6,0.004894,10,28,8,0.26387,0.313559,98.435665,0.529911,49.5,122.5,118,51
"19","tt0042189","Alice in Wonderland",NA,6,0.001834,2,4,8,0.232697,0.260165,0,0.07597,172,173,219.5,181.5
"20","tt0042332","Cinderella",NA,6,0.006265,14,70,8,0.26603,0.327833,84.506839,0.762646,14,116.5,124,3
"21","tt0043274","Alice in Wonderland",NA,6,0.007705,16,64,7,0.29908,0.361074,419.333168,0.804447,3,49.5,42,6.5
"22","tt0045670","Dangerous When Wet",NA,8,0.0045,2,4,1,1,1,0,0.003274,172,8.5,219.5,181.5
"23","tt0046183","Peter Pan",NA,6,0.006646,15,74,8,0.273876,0.340446,230.383837,0.795216,7.5,89,82,1
"24","tt0047834","Animal Farm",NA,6,0.00141,1,2,9,0.211957,0.229227,0,0.007983,198.5,193,219.5,202
"25","tt0048280","Lady and the Tramp",NA,6,0.005784,13,60,8,0.275035,0.333645,60.961581,0.761048,23,85.5,131,10
"26","tt0049367","Invitation to the Dance",NA,6,0.001588,1,2,9,0.200205,0.215094,0,0.004749,198.5,198,219.5,202
"27","tt0052527","1001 Arabian Nights",NA,6,0.004987,10,22,7,0.27121,0.322833,307.380624,0.424252,49.5,97,66,68
"28","tt0053285","Sleeping Beauty",NA,6,0.005847,13,52,8,0.264946,0.323987,71.166138,0.723382,23,120,126,21
"29","tt0055254","101 Dalmatians",NA,6,0.00799,18,56,7,0.310016,0.375348,538.715608,1,1,38.5,34,15.5
"30","tt0056060","Heaven and Earth Magic",NA,6,0.002937,2,4,8,0.178245,0.195311,0,0.00526,172,208.5,219.5,181.5
"31","tt0056294","Number 13",NA,6,0.004767,4,8,7,0.216426,0.244579,386,0.016055,126,187,47,146
"32","tt0056700","The Wonderful World of the Brothers Grimm",NA,6,0.002596,1,2,10,0.141407,0.150836,0,0.001643,198.5,212,219.5,202
"33","tt0057093","Gay Purr-ee",NA,6,0.007517,12,26,7,0.304212,0.360818,1462.221942,0.377887,32.5,42,3,54.5
"34","tt0057546","The Sword in the Stone",NA,6,0.004456,9,28,7,0.298165,0.343211,81.580506,0.528315,60,51.5,125,51
"35","tt0058230","The Incredible Mr. Limpet",NA,6,0.003071,5,10,8,0.247462,0.284719,13.995473,0.146159,108,155,151,127.5
"36","tt0059422","The Man from Button Willow",NA,6,0.00429,7,18,7,0.260695,0.30746,343.828181,0.17152,80.5,129.5,56,84
"37","tt0060283","The Daydreamer",NA,6,0.004525,7,24,6,0.289747,0.331453,329.568481,0.116821,80.5,59,59,59.5
"38","tt0060661","The Man Called Flintstone",NA,6,0.007839,14,42,7,0.288035,0.344579,467.733657,0.347989,14,63.5,38,28
"39","tt0061852","The Jungle Book",NA,6,0.007721,15,60,6,0.35649,0.414786,1098.93731,0.704653,7.5,18,11,10
"40","tt0061931","Mad Monster Party?",NA,6,0.004013,6,20,7,0.265668,0.302283,110.744489,0.075623,94,118.5,113,77.5
"41","tt0062466","The Wacky World of Mother Goose",NA,6,0.004257,7,22,7,0.26603,0.310317,131.710646,0.177629,80.5,116.5,111,68
"42","tt0063823","Yellow Submarine",NA,9,0.000675,0,0,0,0,0,0,0,246.5,246.5,219.5,246.5
"43","tt0064107","A Boy Named Charlie Brown",NA,6,0.00272,3,22,9,0.194417,0.217792,0,0.023345,148,201.5,219.5,68
"44","tt0064806","The Phantom Tollbooth",NA,6,0.006259,12,36,8,0.275035,0.337833,342.396164,0.401638,32.5,85.5,57,36
"45","tt0065421","The Aristocats",NA,6,0.008095,16,62,6,0.362454,0.424615,1748.101012,0.75282,3,17,1,8
"46","tt0066328","Santa and the Three Bears",NA,6,0.001926,2,4,8,0.225434,0.251435,15.362894,0.038263,172,179,150,181.5
