Source,Target,Type,Weight
tt0038166,tt0036497,Undirected,2
tt0038718,tt0036497,Undirected,2
tt0040580,tt0036497,Undirected,3
tt0041094,tt0036497,Undirected,4
tt0042332,tt0036497,Undirected,2
tt0043274,tt0036497,Undirected,1
tt0046183,tt0036497,Undirected,2
tt0048280,tt0036497,Undirected,2
tt0052527,tt0036497,Undirected,1
tt0053285,tt0036497,Undirected,2
tt0055254,tt0036497,Undirected,1
tt0120910,tt0036497,Undirected,1
tt0036497,tt0038166,Undirected,2
tt0038718,tt0038166,Undirected,3
tt0039404,tt0038166,Undirected,1
tt0040580,tt0038166,Undirected,2
tt0041094,tt0038166,Undirected,2
tt0042332,tt0038166,Undirected,1
tt0043274,tt0038166,Undirected,2
tt0046183,tt0038166,Undirected,2
tt0048280,tt0038166,Undirected,1
tt0052527,tt0038166,Undirected,1
tt0053285,tt0038166,Undirected,1
tt0055254,tt0038166,Undirected,1
tt0065421,tt0038166,Undirected,1
tt0049367,tt0038606,Undirected,1
tt0066817,tt0038606,Undirected,1
tt0091123,tt0038606,Undirected,1
tt0036497,tt0038718,Undirected,2
tt0038166,tt0038718,Undirected,3
tt0039404,tt0038718,Undirected,2
tt0040580,tt0038718,Undirected,4
tt0041094,tt0038718,Undirected,2
tt0041890,tt0038718,Undirected,1
tt0042332,tt0038718,Undirected,2
tt0043274,tt0038718,Undirected,2
tt0046183,tt0038718,Undirected,3
tt0048280,tt0038718,Undirected,2
tt0052527,tt0038718,Undirected,1
tt0053285,tt0038718,Undirected,1
tt0055254,tt0038718,Undirected,2
tt0040580,tt0038969,Undirected,1
tt0041890,tt0038969,Undirected,2
tt0042332,tt0038969,Undirected,2
tt0043274,tt0038969,Undirected,1
tt0046183,tt0038969,Undirected,2
tt0048280,tt0038969,Undirected,1
tt0053285,tt0038969,Undirected,1
tt0055254,tt0038969,Undirected,1
tt0057093,tt0038969,Undirected,1
tt0057546,tt0038969,Undirected,1
tt0061852,tt0038969,Undirected,1
tt0066817,tt0038969,Undirected,1
tt0076363,tt0038969,Undirected,1
tt0038166,tt0039404,Undirected,1
tt0038718,tt0039404,Undirected,2
tt0041890,tt0039404,Undirected,1
tt0043274,tt0039404,Undirected,1
